iter	Passed	Remaining
0	129	129743
1	130	65124
2	131	43561
3	131	32777
4	132	26306
5	132	21984
6	134	19069
7	134	16738
8	135	14929
9	136	13474
10	136	12282
11	137	11288
12	137	10455
13	138	9737
14	138	9113
15	139	8571
16	139	8089
17	140	7666
18	141	7282
19	141	6935
20	142	6622
21	142	6337
22	143	6076
23	143	5837
24	144	5618
25	144	5415
26	145	5227
27	145	5052
28	146	4889
29	147	4753
30	147	4621
31	148	4488
32	148	4362
33	149	4245
34	149	4133
35	150	4028
36	150	3929
37	151	3834
38	151	3744
39	152	3662
40	153	3581
41	153	3504
42	154	3431
43	154	3360
44	155	3293
45	155	3229
46	156	3167
47	156	3108
48	157	3052
49	157	2997
50	158	2945
51	158	2894
52	159	2846
53	160	2803
54	161	2768
55	161	2725
56	162	2683
57	162	2642
58	163	2603
59	163	2564
60	164	2526
61	164	2490
62	165	2456
63	165	2422
64	166	2389
65	166	2356
66	166	2325
67	167	2294
68	167	2265
69	168	2236
70	168	2208
71	169	2181
72	169	2154
73	170	2128
74	170	2102
75	170	2078
76	171	2054
77	171	2030
78	172	2007
79	172	1985
80	173	1963
81	173	1942
82	173	1918
83	174	1899
84	174	1883
85	175	1865
86	176	1847
87	176	1828
88	176	1811
89	177	1794
90	177	1777
91	178	1760
92	178	1743
93	179	1727
94	179	1711
95	180	1695
96	180	1679
97	180	1664
98	181	1649
99	181	1635
100	182	1621
101	182	1607
102	183	1593
103	183	1580
104	183	1567
105	184	1554
106	184	1541
107	185	1529
108	185	1516
109	186	1504
110	186	1493
111	186	1481
112	187	1469
113	187	1458
114	188	1447
115	190	1449
116	190	1438
117	191	1428
118	191	1418
119	191	1407
120	192	1397
121	192	1387
122	193	1377
123	193	1367
124	194	1358
125	194	1348
126	194	1339
127	195	1330
128	195	1321
129	196	1312
130	196	1303
131	196	1294
132	197	1286
133	197	1278
134	198	1270
135	198	1261
136	199	1253
137	199	1246
138	199	1238
139	200	1230
140	200	1223
141	201	1214
142	201	1207
143	201	1200
144	202	1193
145	202	1186
146	204	1185
147	204	1178
148	205	1171
149	205	1165
150	206	1158
151	206	1151
152	206	1145
153	207	1138
154	207	1132
155	208	1126
156	208	1120
157	209	1114
158	209	1108
159	209	1102
160	210	1095
161	210	1089
162	211	1083
163	211	1078
164	211	1072
165	212	1067
166	212	1061
167	213	1056
168	213	1050
169	214	1045
170	214	1040
171	215	1035
172	215	1030
173	215	1024
174	216	1020
175	216	1015
176	217	1011
177	218	1007
178	218	1002
179	219	998
180	219	993
181	219	988
182	220	983
183	220	979
184	221	974
185	221	970
186	222	965
187	222	961
188	222	956
189	223	952
190	223	948
191	224	943
192	224	939
193	225	935
194	225	931
195	226	927
196	226	923
197	226	918
198	227	914
199	227	910
200	228	907
201	228	903
202	229	899
203	229	895
204	230	891
205	230	888
206	230	884
207	231	881
208	232	879
209	232	875
210	233	872
211	233	868
212	234	865
213	234	861
214	235	858
215	235	854
216	235	851
217	236	847
218	236	844
219	237	840
220	237	837
221	238	834
222	238	830
223	238	827
224	239	824
225	239	821
226	240	818
227	240	814
228	241	811
229	241	808
230	242	805
231	242	802
232	242	799
233	243	796
234	243	793
235	244	790
236	244	787
237	245	784
238	246	785
239	247	782
240	247	779
241	248	777
242	248	775
243	249	772
244	249	769
245	250	766
246	250	763
247	251	761
248	251	758
249	251	755
250	252	753
251	252	750
252	253	747
253	253	744
254	254	742
255	254	739
256	254	737
257	255	734
258	255	732
259	256	729
260	256	726
261	257	724
262	257	721
263	258	719
264	258	716
265	258	714
266	259	711
267	260	710
268	260	708
269	261	706
270	261	704
271	262	701
272	262	699
273	263	697
274	263	694
275	264	692
276	264	690
277	264	688
278	265	685
279	265	683
280	266	681
281	266	678
282	267	676
283	267	674
284	268	672
285	268	670
286	268	668
287	269	666
288	269	663
289	270	661
290	270	659
291	271	657
292	271	655
293	272	653
294	272	651
295	272	649
296	273	647
297	273	644
298	275	645
299	275	643
300	276	641
301	276	639
302	277	637
303	277	635
304	277	633
305	278	631
306	278	629
307	279	627
308	279	625
309	280	623
310	280	621
311	280	619
312	281	617
313	281	615
314	282	613
315	282	611
316	283	610
317	283	608
318	283	606
319	284	604
320	284	602
321	285	600
322	285	598
323	286	597
324	286	595
325	287	593
326	287	591
327	287	590
328	288	589
329	289	587
330	289	585
331	290	584
332	290	582
333	291	580
334	291	578
335	292	577
336	292	575
337	292	573
338	293	572
339	293	570
340	294	568
341	294	567
342	295	565
343	295	563
344	296	562
345	296	560
346	296	558
347	297	557
348	297	555
349	298	553
350	298	552
351	299	550
352	299	548
353	299	547
354	300	545
355	300	544
356	301	542
357	301	541
358	302	539
359	302	538
360	303	536
361	303	535
362	304	533
363	304	532
364	305	530
365	305	529
366	306	527
367	306	526
368	306	524
369	307	523
370	307	521
371	308	520
372	308	518
373	309	517
374	309	515
375	310	514
376	310	512
377	310	511
378	311	510
379	311	508
380	312	507
381	312	505
382	312	504
383	313	502
384	313	501
385	314	499
386	314	498
387	315	496
388	315	496
389	316	494
390	316	493
391	317	492
392	317	490
393	318	489
394	318	488
395	319	487
396	319	485
397	320	484
398	320	482
399	321	481
400	321	480
401	321	478
402	322	477
403	322	476
404	323	474
405	323	473
406	324	472
407	324	470
408	324	469
409	325	468
410	325	466
411	326	465
412	326	464
413	326	462
414	327	461
415	327	460
416	328	458
417	328	457
418	329	456
419	329	455
420	330	454
421	330	453
422	331	451
423	331	450
424	332	449
425	332	448
426	333	447
427	333	445
428	333	444
429	334	443
430	334	442
431	335	440
432	335	439
433	336	438
434	336	437
435	337	435
436	337	434
437	337	433
438	338	432
439	338	431
440	339	429
441	339	428
442	340	427
443	340	426
444	340	425
445	341	423
446	341	422
447	342	421
448	342	420
449	342	419
450	343	418
451	345	418
452	345	417
453	346	416
454	346	415
455	347	414
456	347	412
457	347	411
458	348	410
459	348	409
460	349	408
461	349	407
462	350	406
463	350	404
464	351	403
465	351	402
466	351	401
467	352	400
468	352	399
469	353	398
470	353	397
471	353	395
472	354	394
473	354	393
474	355	392
475	355	391
476	356	390
477	356	389
478	356	388
479	357	387
480	357	386
481	360	387
482	360	386
483	361	385
484	361	383
485	362	383
486	362	382
487	363	381
488	363	379
489	363	378
490	364	377
491	364	376
492	365	375
493	365	374
494	366	373
495	366	372
496	366	371
497	367	370
498	367	369
499	368	368
500	368	367
501	369	366
502	369	365
503	369	364
504	370	363
505	370	362
506	371	361
507	371	360
508	372	359
509	373	358
510	373	357
511	374	356
512	374	355
513	375	354
514	375	353
515	376	352
516	376	351
517	376	350
518	377	349
519	377	348
520	378	347
521	378	346
522	379	345
523	379	344
524	379	343
525	380	342
526	380	341
527	381	340
528	381	339
529	382	338
530	382	337
531	382	336
532	383	335
533	383	334
534	384	334
535	384	333
536	385	332
537	385	331
538	386	330
539	386	329
540	387	329
541	388	328
542	389	327
543	389	326
544	390	325
545	390	324
546	390	323
547	391	322
548	391	321
549	392	320
550	392	320
551	393	319
552	393	318
553	394	317
554	394	316
555	394	315
556	395	314
557	395	313
558	396	312
559	396	311
560	396	310
561	397	309
562	397	308
563	398	307
564	398	306
565	399	306
566	399	305
567	399	304
568	400	303
569	400	302
570	402	302
571	403	301
572	403	300
573	404	299
574	404	299
575	405	298
576	405	297
577	405	296
578	406	295
579	406	294
580	407	293
581	407	292
582	408	291
583	408	290
584	408	290
585	409	289
586	409	288
587	410	287
588	410	286
589	411	285
590	412	285
591	412	284
592	413	283
593	413	282
594	414	281
595	414	281
596	415	280
597	418	281
598	418	280
599	419	279
600	419	278
601	420	277
602	420	276
603	421	276
604	421	275
605	422	274
606	422	273
607	422	272
608	423	271
609	423	270
610	424	270
611	424	269
612	425	268
613	425	267
614	425	266
615	426	265
616	426	264
617	427	264
618	427	263
619	428	262
620	428	261
621	428	260
622	429	259
623	429	258
624	430	258
625	431	257
626	431	256
627	432	256
628	432	255
629	433	254
630	433	253
631	434	252
632	434	251
633	434	251
634	435	250
635	435	249
636	436	248
637	436	247
638	437	246
639	437	246
640	438	245
641	438	244
642	438	243
643	439	242
644	439	242
645	440	241
646	440	240
647	441	239
648	441	238
649	441	237
650	442	237
651	442	236
652	443	235
653	443	234
654	444	233
655	444	233
656	445	232
657	445	231
658	446	230
659	446	230
660	447	229
661	447	228
662	448	227
663	448	226
664	449	226
665	449	225
666	449	224
667	450	223
668	450	223
669	451	222
670	451	221
671	452	220
672	452	219
673	453	219
674	453	218
675	453	217
676	454	216
677	454	215
678	455	215
679	455	214
680	456	213
681	456	212
682	456	212
683	457	211
684	457	210
685	458	209
686	458	208
687	459	208
688	459	207
689	460	206
690	460	206
691	461	205
692	461	204
693	462	203
694	462	202
695	463	202
696	463	201
697	463	200
698	464	199
699	464	199
700	465	198
701	465	197
