iter	Passed	Remaining
0	129	129255
1	129	64841
2	130	43362
3	131	32621
4	131	26179
5	132	21884
6	132	18824
7	133	16528
8	133	14740
9	134	13309
10	135	12138
11	135	11163
12	136	10339
13	136	9632
14	137	9020
15	138	8492
16	138	8026
17	139	7610
18	140	7232
19	140	6893
20	141	6589
21	142	6313
22	142	6059
23	143	5825
24	143	5611
25	144	5419
26	145	5234
27	145	5063
28	146	4904
29	147	4755
30	147	4616
31	148	4487
32	149	4366
33	149	4251
34	150	4142
35	150	4039
36	151	3942
37	152	3860
38	153	3774
39	153	3692
40	154	3613
41	155	3538
42	155	3465
43	156	3395
44	156	3329
45	157	3266
46	158	3205
47	158	3148
48	159	3093
49	159	3039
50	160	2988
51	161	2938
52	161	2890
53	162	2843
54	162	2799
55	163	2756
56	164	2714
57	164	2674
58	165	2635
59	165	2598
60	166	2562
61	167	2534
62	168	2502
63	168	2468
64	169	2435
65	169	2403
66	170	2371
67	170	2338
68	171	2308
69	171	2280
70	172	2253
71	172	2227
72	173	2200
73	173	2175
74	174	2150
75	174	2125
76	175	2100
77	175	2076
78	176	2053
79	176	2031
80	177	2008
81	177	1987
82	177	1966
83	178	1945
84	178	1924
85	179	1905
86	179	1884
87	180	1866
88	180	1847
89	181	1830
90	181	1814
91	182	1796
92	182	1779
93	182	1762
94	183	1746
95	183	1730
96	184	1714
97	184	1698
98	184	1683
99	185	1668
100	185	1654
101	186	1638
102	186	1624
103	186	1610
104	187	1597
105	187	1583
106	188	1570
107	188	1557
108	189	1545
109	189	1532
110	189	1520
111	190	1508
112	190	1496
113	191	1485
114	191	1473
115	191	1461
116	192	1450
117	193	1443
118	193	1433
119	194	1424
120	194	1414
121	195	1410
122	196	1400
123	196	1391
124	197	1381
125	197	1372
126	198	1363
127	198	1353
128	199	1347
129	200	1341
130	200	1333
131	201	1324
132	201	1316
133	202	1307
134	202	1299
135	203	1290
136	203	1282
137	203	1274
138	204	1266
139	204	1258
140	205	1250
141	205	1242
142	206	1235
143	206	1228
144	207	1220
145	207	1213
146	207	1206
147	208	1199
148	208	1192
149	209	1185
150	209	1179
151	210	1174
152	210	1167
153	211	1161
154	211	1154
155	212	1148
156	212	1141
157	213	1135
158	213	1129
159	213	1123
160	214	1117
161	214	1110
162	215	1105
163	215	1099
164	216	1093
165	216	1087
166	216	1082
167	217	1076
168	217	1070
169	218	1068
170	219	1063
171	219	1058
172	220	1055
173	221	1050
174	221	1045
175	222	1040
176	222	1035
177	223	1030
178	224	1028
179	224	1024
180	225	1018
181	225	1013
182	226	1009
183	226	1004
184	226	999
185	227	995
186	227	990
187	228	985
188	228	981
189	229	976
190	229	973
191	230	968
192	230	965
193	231	961
194	232	957
195	232	953
196	232	949
197	233	945
198	233	941
199	234	937
200	234	933
201	235	929
202	235	925
203	236	921
204	236	917
205	237	913
206	237	909
207	237	905
208	238	902
209	238	898
210	239	895
211	239	891
212	240	888
213	240	884
214	241	881
215	241	877
216	242	874
217	242	871
218	243	867
219	243	864
220	244	861
221	244	857
222	245	854
223	245	851
224	246	847
225	246	844
226	246	841
227	247	837
228	247	834
229	248	831
230	248	828
231	249	825
232	249	822
233	250	818
234	250	815
235	251	812
236	251	809
237	251	806
238	252	803
239	253	801
240	253	798
241	253	795
242	254	792
243	254	789
244	255	786
245	255	783
246	256	780
247	256	777
248	257	775
249	257	772
250	257	769
251	258	766
252	258	764
253	259	761
254	259	758
255	260	755
256	260	753
257	260	750
258	261	747
259	261	745
260	262	742
261	262	740
262	263	737
263	263	735
264	264	732
265	264	729
266	264	727
267	265	724
268	265	722
269	266	719
270	266	717
271	267	715
272	267	713
273	268	710
274	268	708
275	269	706
276	269	703
277	270	701
278	270	699
279	271	697
280	271	694
281	271	692
282	272	690
283	272	687
284	273	685
285	273	683
286	274	680
287	274	678
288	274	676
289	275	674
290	275	672
291	276	669
292	276	667
293	277	665
294	277	663
295	278	661
296	278	659
297	278	656
298	279	654
299	279	652
300	280	650
301	280	648
302	281	646
303	281	644
304	282	643
305	282	641
306	283	639
307	283	637
308	284	635
309	284	633
310	285	631
311	285	629
312	286	627
313	286	625
314	286	624
315	287	622
316	287	620
317	288	618
318	288	616
319	289	614
320	289	612
321	289	610
322	290	608
323	290	606
324	291	605
325	291	603
326	292	601
327	292	599
328	293	597
329	293	596
330	294	594
331	294	592
332	294	590
333	295	589
334	296	587
335	296	586
336	297	584
337	297	582
338	298	581
339	298	579
340	298	577
341	299	575
342	299	574
343	300	572
344	300	570
345	301	569
346	301	567
347	301	565
348	302	563
349	302	562
350	303	560
351	303	558
352	304	557
353	304	555
354	304	554
355	305	552
356	305	550
357	306	549
358	306	547
359	307	546
360	307	544
361	308	542
362	308	541
363	308	539
364	309	538
365	310	537
366	310	536
367	311	534
368	311	533
369	312	531
370	312	530
371	313	528
372	313	527
373	314	525
374	314	524
375	315	522
376	315	521
377	315	519
378	316	518
379	316	516
380	317	515
381	317	513
382	318	512
383	318	511
384	318	509
385	319	508
386	319	506
387	320	505
388	320	503
389	321	502
390	321	500
391	322	499
392	322	498
393	323	496
394	323	495
395	324	494
396	324	492
397	324	491
398	325	490
399	325	488
400	326	487
401	326	485
402	327	484
403	327	483
404	327	481
405	328	480
406	328	479
407	329	477
408	329	476
409	330	475
410	330	473
411	330	472
412	331	471
413	331	469
414	332	468
415	332	467
416	333	465
417	333	464
418	333	463
419	334	461
420	334	460
421	335	459
422	335	458
423	336	456
424	336	455
425	337	454
426	337	452
427	337	451
428	338	450
429	338	449
430	339	447
431	339	446
432	340	445
433	340	444
434	340	442
435	341	441
436	341	440
437	342	438
438	342	437
439	342	436
440	343	435
441	343	434
442	344	432
443	344	431
444	345	430
445	345	429
446	345	427
447	346	426
448	346	425
449	347	424
450	347	423
451	348	422
452	348	420
453	349	419
454	349	418
455	349	417
456	350	416
457	350	415
458	351	413
459	351	412
460	352	411
461	352	410
462	352	409
463	353	408
464	353	407
465	354	406
466	354	404
467	355	403
468	355	402
469	356	401
470	356	400
471	356	399
472	357	398
473	357	396
474	358	395
475	358	394
476	359	393
477	359	392
478	359	391
479	360	390
480	360	389
481	361	388
482	361	387
483	362	386
484	362	384
485	362	383
486	363	382
487	363	381
488	364	380
489	364	379
490	365	378
491	365	377
492	365	376
493	366	375
494	366	374
495	367	373
496	367	372
497	368	371
498	368	370
499	369	369
500	369	367
501	369	366
502	370	365
503	370	364
504	371	363
505	371	362
506	371	361
507	372	360
508	372	359
509	373	358
510	373	357
511	374	356
512	374	355
513	375	354
514	375	353
515	376	352
516	376	351
517	376	350
518	377	349
519	377	348
520	378	347
521	378	346
522	379	345
523	379	344
524	379	343
525	380	342
526	380	341
527	381	340
528	381	339
529	382	338
530	382	337
531	383	336
532	383	336
533	383	335
534	384	334
535	384	333
536	385	332
537	385	331
538	386	330
539	386	329
540	387	328
541	387	327
542	387	326
543	388	325
544	388	324
545	389	323
546	389	322
547	389	321
548	390	320
549	390	319
550	391	318
551	391	317
552	392	316
553	392	315
554	392	315
555	393	314
556	393	313
557	394	312
558	394	311
559	395	310
560	395	309
561	395	308
562	396	307
563	396	306
564	397	305
565	397	304
566	398	303
567	398	303
568	398	302
569	399	301
570	399	300
571	400	299
572	400	298
573	401	297
574	401	296
575	402	295
576	402	295
577	402	294
578	403	293
579	403	292
580	404	291
581	404	290
582	404	289
583	405	288
584	405	287
585	406	287
586	406	286
587	407	285
588	407	284
589	407	283
590	408	282
591	408	281
592	409	280
593	409	280
594	410	279
595	410	278
596	411	277
597	411	276
598	411	275
599	412	275
600	413	274
601	413	273
602	413	272
603	414	271
604	414	270
605	415	269
606	415	269
607	416	268
608	416	267
609	416	266
610	417	265
611	417	264
612	418	264
613	418	263
614	419	262
615	419	261
616	419	260
617	420	259
618	420	258
619	421	258
620	421	257
621	422	256
622	422	255
623	422	254
624	423	253
625	423	253
626	424	252
627	424	251
628	424	250
629	425	249
630	426	249
631	426	248
632	427	247
633	427	246
634	428	246
635	428	245
636	428	244
637	429	243
638	429	242
639	430	241
640	430	241
641	431	240
642	431	239
643	431	238
644	432	237
645	432	237
646	433	236
647	433	235
648	434	234
649	434	233
650	434	233
651	435	232
652	435	231
653	436	230
654	436	230
655	437	229
656	437	228
657	438	227
658	438	227
659	439	226
660	439	225
661	440	224
662	440	224
663	441	223
664	441	222
665	442	221
666	442	220
667	442	220
668	443	219
669	443	218
670	444	217
671	444	216
672	444	216
673	445	215
674	445	214
675	446	213
676	446	213
677	447	212
678	447	211
679	447	210
680	448	210
681	448	209
682	449	208
683	449	207
684	449	206
685	450	206
686	450	205
687	451	204
688	451	203
689	452	203
690	452	202
691	453	201
692	453	200
693	454	200
694	454	199
695	454	198
696	455	197
697	455	197
698	456	196
699	456	195
700	456	194
701	457	194
702	457	193
703	458	192
704	458	191
705	458	191
706	459	190
707	459	189
708	460	188
709	460	188
710	460	187
711	461	186
712	461	185
713	462	185
714	462	184
715	463	183
716	463	182
717	463	182
718	464	181
719	464	180
720	465	180
721	465	179
722	466	178
723	466	177
724	467	177
725	467	176
726	467	175
727	468	175
728	468	174
729	469	173
730	469	172
731	470	172
732	470	171
733	470	170
734	471	169
735	471	169
736	472	168
737	472	167
738	472	167
739	473	166
740	473	165
741	474	164
742	474	164
743	475	163
744	475	162
745	475	162
746	476	161
747	476	160
748	477	159
749	477	159
750	478	158
751	478	157
752	478	157
753	479	156
754	479	155
755	480	155
756	480	154
757	481	153
758	481	152
759	482	152
760	482	151
761	482	150
762	483	150
763	483	149
764	484	148
765	484	148
766	484	147
767	485	146
768	485	145
769	486	145
770	486	144
